Authors,Year,Title,Otherbibinfo,DOIorURI,WhatReviewed,Type,Discipline,ExDef,ImDef,OpenIdentities,OpenReports,OpenInteraction,OpenParticipation,OpeninTime,OpenPlatforms
"Ware, Mark",2011,Peer Review: Recent Experience and Future Directions,New Review of Information Networking 16 (1): 23?53,10.1080/13614576.2011.566812,Journal articles,Article,Interdisciplinary,"?The term open review is used confusingly to refer to several related but different variants of peer review, and it is worth taking a moment to identify these since it is not always clear in debates over the merits of open peer review exactly what is being referred to. (See also Hodgkinson 2007.) The ""openness"" in review can refer to: 
 ? the lack of blinding of the reviewer's identity. There can be several variants of this: the reviewers' names can be made known to the author (that is, the reports are signed) but are not made public (as at the BMJ, the Journal of the Royal Society of Medicine and BioMed Central medical journals), or alternatively the reviewers' names can be made public and attached to the published paper. It is also possible for the reviewers to remain anonymous during the process of review but for their names subsequently to be revealed and published alongside the paper. Another variant is to allow the author to nominate the referees (as at Biology Direct).
 ? access to the reviewer's reports and the associated author responses and other documentation. The review process can take place in the open, with the submitted manuscript, reviewer reports, author responses and editor's comments etc. made available in real time; this is the approach adopted at the journal Atmospheric Chemistry & Physics. Alternatively, the reviewing documents can be published simultaneously with the paper (e.g. as at The EMBO Journal ). An additional requirement can be that the reviewer does not provide confidential comments to the editor in addition to the report that is made available to the author.
 ? the pool of people able to comment on the submitted manuscripts, i.e. opening this up to the wider community rather than relying on two or three reviewers selected by the editor. This approach can take place after publication (see Post-publication peer review, below) or prior to publication (as at Atmospheric Chemistry & Physics or at the Nature peer review trial). The intended reviewer pool can be the wider research community (perhaps including regions under-represented among reviewers), statisticians or other professionals, or even patients as proposed at the Journal of Participatory Medicine (Shashok 2010).? (Ware 2011)",,1,1,0,1,1,0
"Fitzpatrick, Kathleen, and Katherine Rowe",2010,Keywords for Open Peer Review,Logos 21 (3): 133?41,10.1163/095796511X560024,Journal articles,Article,SSH,"""A core principle of open review is the provision that the texts under review and reviewers? comments will remain available."", ""In the context of peer review, an open process may involve named or anonymous participants. For the many reasons discussed in this essay, SQ concluded that participants in our open vetting should be named (see ?Translation effects?, ?Accountability? and ?Peer-to-peer reviewing?).""","As Shakespeare Quarterly?s open peer review experiment in partnership with Media-Commons Press ""In the spring of 2010, Shakespeare Quarterly (SQ) designed and mplemented a hybrid review process for its special issue 61:3 ?Shakespeare and New Media,? guest edited by Rowe.2 After researching different modes of digital publication and consulting the scholarship on peer review, the editors decided to test the opportunities and challenges offered by online open reviewing.3 For this experiment, the editors adapted SQ?s established procedures to include a public and named phase of vetting, open to any reviewer but actively inviting those with relevant expertise. Running from 10 March to 5 May 2010, the process drew a self-selected community of Shakespeareans and others with expertise in media history.""",1,1,0,1,0,0
"McCormack, Nancy",2009,"Peer Review and Legal Publishing: What Law Librarians Need to Know about Open, Single-Blind, and Double-Blind Reviewing","Law
 Library Journal 101, 1 (2009): 59?70",http://www.aallnet.org/mm/Publications/llj/LLJ-Archives/Vol-101/pub_llj_v101n01/2009-03.pdf,Journal articles,Article,SSH,""" Open peer review, as the name suggests, does not attempt to mask the identity of authors or reviewers. """,,1,0,0,0,0,0
"Peters, Douglas P., and Stephen J. Ceci",1982,"Peer-Review Practices of Psychological Journals: The Fate of Published Articles, Submitted Again",Behavioral and Brain Sciences 5 (2): 187?195,10.1017/S0140525X00011183,Journal articles,Article,STEM,"(Peters and Ceci 1982a, 194) define ?open review? as being synonymous with Harnad?s ?open commentary?: ""A further extension of author involvement and a move toward more openness and accountability in the review process can be seen in the recent suggestions for (and implementation of) an ""open peer commentary"" or ""open review"" system (Harnad 1979) in this journal (and its model, Current Anthropology). The basic idea is to complement the conventional closed peer-review system by giving the authors of accepted (refereed) articles the opportunity to respond openly to criticism. With the article, commentaries (from first-round referees and others), and the author's formal response published together in their entirety, readers of the journal can have a chance to examine and appraise this process of ""creative disagreement"" and form their own opinions as to the merit of an individual's work.""",,1,1,1,1,0,0
"Armstrong, J. Scott",1982,Barriers to Scientific Contributions: The Author?s Formula,"Behavioral and Brain Sciences 5, no. 2 (June 1982): 197?199",,Journal articles,Article,STEM,"""an open reviewing system would be preferable. It would be more equitable and more efficient. Knowing that they would have to defend their views before their peers should provide referees with the motivation to do a good job. Also, as a side benefit, referees would be recognized for the work they had done (at least for those papers that were published). Open peer review would also improve communication. Referees and authors could discuss difficult issues to find ways to improve a paper, rather than dismissing it. Frequently, the review itself provides useful information. Should not these contributions be shared? Interested readers should have access to the reviews of the published papers. For important issues, referees could publish their review along with the paper.""",,1,1,1,1,0,0
"Hames, Irene",2007,Peer Review and Manuscript Management in Scientific Journals: Guidelines for Good Practice,John Wiley & Sons,,Journal articles,Book,Interdisciplinary,"""In open peer review, the authors know the identity of the reviewers.""",,1,0,0,0,0,0
"Regazzi, John J.",2015,Scholarly Communications: A History from Content as King to Content as Kingmaker,Rowman & Littlefield,,Journal articles,Book,Interdisciplinary,"Another concept gaining popularity is open peer review. In the open peer-review process, reviewer names are included on the review reports. The author knows the names of the peer reviewers. If the journal article or paper is published, the peer-review reports with names are also published online, along with the prepublication history.... In another form of the open peer review, scientists can sign up with a journal to serve as a reviewer for articles yet to be published or volunteer to peer review articles needing assessment. The articles and reviews are posted online.",,1,1,0,1,0,0
"Morrison, Heather",2009,Scholarly Communication for Librarians,Elsevier,,Journal articles,Book,Interdisciplinary,"""Open peer review has two possible meanings: either everyone knows who both reviewer and author are, or review is open to anyone (sometimes both these conditions may apply).""",,1,0,0,1,0,0
"Konkiel, Stacy",2014,Impact Challenge Day 19: Establish Your Expertise with Open Peer Review,"Impactstory Blog, November 21, 2014",http://blog.impactstory.org/impact-challenge-open-peer-review/,Journal articles,Blog post,Interdisciplinary,"Shades of Open Peer Review
 In recent years, scientists have increasingly called for an Open alternative to traditional peer review. This has manifested in journals adopting Open Peer Review (OPR), researchers taking to their blogs to review already-published work, and the proliferation of Open and Post-publication Peer Review sites like Faculty of 1000, PubPeer, and Publons.
 
 Each shade of OPR has its advantages and disadvantages. Let?s take a closer look.
 
 Open Peer Review for journals
 Here?s how Open Peer Reviews work, more or less: reviewers are assigned to a paper, and they know the author?s identity. They review the paper and sign their name. The reviews are then submitted to the editor and author (who now knows their reviewers? identities, thanks to the signed reviews). When the paper is published, the signed reviews are published alongside it.
 
 Journals including BMJ and PeerJ require or allow Open Peer Reviews.
 
 Participating in journal-based OPR can be a good way to experiment with OPR as it?s officially sanctioned by the author, journal, and reviewer alike.
 
 One drawback to this type of Open Peer Review is that journals sometimes do not provide permanent identifiers for the reviews themselves, making it difficult to track the reach and impact of your review rather than for the journal article you?ve reviewed. Luckily, PeerJ is working to change that?they?re now issuing DOIs for Open peer reviews, which comprise 40% of their reviews.
 
 Third-party Open and Post-publication Peer Review sites
 In the past few years, a number of standalone, independent peer review sites have emerged: PubPeer, Publons, and Faculty of 1000 are among the many. These sites allow you to review both published and under-review papers on their platform, and in the case of Publons, export your reviews to journals for use.
 
 These sites also allow you to submit your reviews as Open Peer Reviews, and to create profiles showcasing your peer reviews. Some sites like Publons also issue DOIs for reviews, making them citable research objects.
 
 Blogging as Open Post-publication Peer Review
 In this type of Open Peer Review, academics take to their blogs to share their thoughts on a recently published paper or preprint. These reviews can run the gamut from highly-technical reviews oriented towards other scientists (a good example is this post on Rosie Redfield?s blog) to reviews written for a more general audience (like Mike Eisen?s post on the same study).
 
 A major advantage to blogging your Open Peer Reviews is that you don?t have to have permission to do it; you can just fire up your blog and start reviewing. But a downside is that the review isn?t formally sanctioned by the journal, and so can carry less weight than formal reviews.
 
 No matter what type of Open Peer Review you opt for, if it?s got your name attached to it and is available for all to read, you can use it to showcase your expertise in your area of research.",,1,1,0,1,1,1
"Swan, Alma",2006,Overview of scholarly communication,"In,ÿJacobs, Neilÿ(eds.)ÿOpen Access: Key Strategic, Technical and Economic Aspects.ÿ,ÿChandos",http://eprints.soton.ac.uk/id/eprint/262427,Journal articles,Book,Interdisciplinary,"""Some journals have already started experimenting with open peer review, where articles are posted on the Web for open discussion between peer group and author, are modified in the light of this and are then formally peer-reviewed by selected reviewers in the traditional way.""",,0,1,1,1,1,0
"Martin, Victoria",2014,Demystifying eResearch: A Primer for Librarians: A Primer for Librarians,ABC-CLIO,,Journal articles,Book,Interdisciplinary,"""Open peer review means that the reviewers' identities are disclosed, included on the peer review reports, and that these reports are (optionally) published alongside the article."" (p.69)",,1,1,0,0,0,0
"MacAuley, Domhnall",2012,The Role of the Manuscript Assessor,"In How to Write a Paper, edited by George M. Hall, 102?14. John Wiley & Sons, Ltd",,Journal articles,Book,Interdisciplinary,"""Many journals now use a completely open peer review system so that the identity of authors and reviewers are known to each other.""",,1,0,0,0,0,0
"Monsen, Elaine R., and Linda Van Horn",2007,Research: Successful Approaches,American Dietetic Association,,Journal articles,Book,STEM,"""Recently, some journals ... Have gone to what is called ""open peer review"" or ""unblinded review."" In this type of review, reviewers and authors are not blind to one another, and they can discuss questions raised by the review of the manuscript. Some journals provide open posting of the manuscript and reviewer comments on their Web sites and allow community comment.""",,1,1,1,1,0,0
"Su rez, Andrea L., Jeffrey D. Bernhard, and Robert P. Dellavalle",2012,Hiding Behind the Curtain: Anonymous versus Open Peer Review,"InÿDermatoethics: Contemporary Ethics and Professionalism in Dermatology, edited by Lionel Bercovitch and Clifford Perlis, 221-225. London: Springer,",,Journal articles,Book,STEM,"""open peer review occurs when there is no blinding and the author's and reviewer's names are known to each other.""",,1,0,0,0,0,0
"Benson, Philippa J., and Susan C. Silver",2012,What Editors Want: An Author?s Guide to Scientific Journal Publishing,University of Chicago Press,,Journal articles,Book,Interdisciplinary,"""in open peer review neither the authors nor the reviewers are anonymous; instead, everyone's name is visible.""",,1,0,0,0,0,0
"Morris, Sally, Ed Barnas, and Douglas LaFrenier",2013,The Handbook of Journal Publishing,Cambridge University Press,,Journal articles,Book,Interdisciplinary,"""Some journals use ""open peer review,"" and post the reviewers' (signed) commments made during peer review.""",,1,1,0,0,0,0
Ediqo,2016,What to Consider When Submitting Your Paper to an Open Peer-Review Journal,"Research Matters - Ediqo Blog, May 18, 2016",https://www.ediqo.com/blog/what-to-consider-when-submitting-your-paper-to-an-open-peer-review-journal/,Journal articles,Blog post,Interdisciplinary,"""Open peer-review journals provide online referee reports to readers alongside a published paper, working towards the goal of increasing transparency in academia and scholarly communications. Some open peer-review models also require referee identities to be revealed to authors or the public, which is usually done once a paper?s peer-review process has been completed.... A new type of open peer-review journal are those operating under the post-publication peer-review (PPPR) model. PPPR is also a form of open peer-review, where the referee reports and usually also the names of referees are openly published. PPPR has the advantage that a submitted paper is immediately published online as a kind of preprint before the peer-review process starts.""",,1,1,0,1,1,0
"Freire, Danilo",2015,Peering at Open Peer Review,"The Political Methodologist, December 8, 2015",https://thepoliticalmethodologist.com/2015/12/08/peering-at-open-peer-review/,Journal articles,Blog post,Interdisciplinary,"""Open peer review consists in requiring referees to sign their reports and requesting editors to publish the reviews alongside the final manuscripts""",,1,0,0,0,0,0
"Davis, Phil",2010,Weighing the Costs and Benefits of Open Peer-Review,"The Scholarly Kitchen, November 30, 2010",https://scholarlykitchen.sspnet.org/2010/11/30/weighing-the-costs-and-benefits-of-open-peer-review/,Journal articles,Blog post,Interdisciplinary,,"""The article, ?Effect on peer review of telling reviewers that their signed reviews might be posted on the web,? was published on November 16th in BMJ by Susan van Rooyen and others. Using a randomized controlled trial, reviewers were allocated to either the intervention group (open peer review) or the control group (reviews provided to the author). """,1,0,0,0,0,0
Wikipedia,2016,Open peer review,Wikipedia,https://en.wikipedia.org/wiki/Open_peer_review,Not specified,Other,Interdisciplinary,"Open peer review denotes several, closely related forms of scholarly peer review:
 - open-identity or attributed peer review (as opposed to anonymous peer review);
 - open-access or disclosed peer review, where the peer review contents are publicized;
 - open-invitation or unsolicited peer review, where anyone interested can join and contribute to the peer review process. In this case does not follow that peer-review is a gate-keeping process.",,1,1,1,0,0,0
Agricultural Information Management Standards (AIMS),2016,Opening up the review process with open peer review,Agricultural Information Management Standards (AIMS),http://aims.fao.org/activity/blog/opening-review-process-open-peer-review,Not specified,Blog post,Interdisciplinary,"With open peer review referee reports are made publicly available after the peer review process: each published article includes all peer review reports, reviewer names, and author responses ? even for articles that are still under review or revision.",,1,1,0,0,0,0
